LSOA11CD,geography,total_population
E01011329,Leeds 051B,1493
E01011330,Leeds 051C,1345
E01011333,Leeds 051D,1369
E01011327,Leeds 052A,1348
E01011328,Leeds 052B,1591
E01011335,Leeds 052C,1710
E01011591,Leeds 052D,1637
E01011430,Leeds 053A,1732
E01011432,Leeds 053B,1736
E01011433,Leeds 053C,1927
E01011434,Leeds 053D,1805
E01011445,Leeds 054A,1790
E01011446,Leeds 054B,1755
E01011447,Leeds 054C,1428
E01011448,Leeds 054D,1679
E01011449,Leeds 054E,1480
E01011670,Leeds 055A,2614
E01011671,Leeds 055B,1687
E01033002,Leeds 055F,2179
E01033003,Leeds 055G,2293
E01035042,Leeds 055I,2288
E01035043,Leeds 055J,1416
E01011478,Leeds 056A,1769
E01011479,Leeds 056B,1521
E01011481,Leeds 056C,1812
E01011482,Leeds 056D,1737
E01011483,Leeds 056E,1625
E01011406,Leeds 057A,1315
E01011407,Leeds 057B,1424
E01011408,Leeds 057C,1493
E01011409,Leeds 057D,1442
E01011410,Leeds 057E,1658
E01011412,Leeds 057F,1816
E01011331,Leeds 058A,1340
E01011334,Leeds 058B,1397
E01011336,Leeds 058C,1551
E01011337,Leeds 058D,1734
E01011281,Leeds 059A,2182
E01011282,Leeds 059B,1388
E01011283,Leeds 059C,1575
E01011286,Leeds 059D,1295
E01011295,Leeds 059E,1708
E01011339,Leeds 060A,2115
E01011340,Leeds 060B,1816
E01011342,Leeds 060C,1878
E01011346,Leeds 060D,1892
E01011341,Leeds 061A,2172
E01011343,Leeds 061B,1980
E01011345,Leeds 061C,1498
E01011666,Leeds 061D,1424
E01011585,Leeds 062A,1401
E01011587,Leeds 062B,1748
E01011594,Leeds 062C,1543
E01011596,Leeds 062D,1648
E01011598,Leeds 062E,1581
E01011678,Leeds 063B,4342
E01011681,Leeds 063D,1693
E01035044,Leeds 063F,2643
E01035045,Leeds 063G,1308
E01011338,Leeds 064A,2029
E01011673,Leeds 064B,1862
E01011677,Leeds 064D,1624
E01033031,Leeds 064E,1608
E01033035,Leeds 064F,1817
E01011344,Leeds 065A,2057
E01011347,Leeds 065B,1975
E01011348,Leeds 065C,1796
E01011349,Leeds 065D,1819
E01011586,Leeds 066A,1850
E01011595,Leeds 066B,2169
E01011597,Leeds 066C,1707
E01011599,Leeds 066D,1664
E01011287,Leeds 067B,1461
E01032499,Leeds 067G,1707
E01032500,Leeds 067H,1386
E01032606,Leeds 067I,2109
E01032607,Leeds 067J,1273
E01032608,Leeds 067K,1116
E01011608,Leeds 068A,1379
E01011609,Leeds 068B,1431
E01011610,Leeds 068C,1530
E01011611,Leeds 068D,1487
E01011614,Leeds 068E,1860
E01011413,Leeds 069A,1455
E01011415,Leeds 069B,1639
E01011416,Leeds 069C,1485
E01011417,Leeds 069D,1528
E01011420,Leeds 069E,1359
E01011615,Leeds 070A,1581
E01011617,Leeds 070B,1641
E01011618,Leeds 070C,1660
E01011621,Leeds 070D,1567
E01011284,Leeds 071A,2216
E01011292,Leeds 071B,1956
E01011293,Leeds 071C,1963
E01011294,Leeds 071D,1721
E01011363,Leeds 071E,1961
E01011616,Leeds 072A,1645
E01011620,Leeds 072B,1383
E01011622,Leeds 072C,1742
E01011624,Leeds 072D,1858
E01011411,Leeds 073A,1714
E01011414,Leeds 073B,1500
E01011418,Leeds 073C,1457
E01011419,Leeds 073D,1109
E01011396,Leeds 074A,1888
E01011399,Leeds 074B,1502
E01011400,Leeds 074C,1394
E01011403,Leeds 074D,1515
E01011623,Leeds 075B,1701
E01011625,Leeds 075C,1724
E01011626,Leeds 075D,2399
E01033021,Leeds 075E,2067
E01033033,Leeds 075F,1617
E01033034,Leeds 075G,1480
E01011602,Leeds 076A,1975
E01011603,Leeds 076B,1592
E01011605,Leeds 076C,1758
E01011606,Leeds 076D,2048
E01011613,Leeds 076E,1795
E01011397,Leeds 077A,1501
E01011398,Leeds 077B,1141
E01011401,Leeds 077C,1773
E01011404,Leeds 077D,1377
E01011405,Leeds 077E,1474
E01011725,Leeds 078A,1514
E01011729,Leeds 078B,1700
E01011730,Leeds 078C,1564
E01011735,Leeds 078D,1693
E01011600,Leeds 079A,1516
E01011601,Leeds 079B,1622
E01011604,Leeds 079C,1346
E01011607,Leeds 079D,1658
E01011612,Leeds 079E,1391
E01011726,Leeds 080A,1561
E01011727,Leeds 080B,1549
E01011728,Leeds 080C,1384
E01011739,Leeds 080D,1602
E01011362,Leeds 081A,1935
E01011731,Leeds 081B,1428
E01011732,Leeds 081C,1982
E01011733,Leeds 081D,1574
E01011366,Leeds 082A,1786
E01011368,Leeds 082C,1664
E01011370,Leeds 082D,1689
E01033013,Leeds 082E,1431
E01035046,Leeds 082G,1158
E01035047,Leeds 082H,1331
E01011734,Leeds 083A,2797
E01011736,Leeds 083B,1402
E01011737,Leeds 083C,1536
E01011738,Leeds 083D,1497
E01011364,Leeds 085A,2124
E01011371,Leeds 085B,1812
E01011373,Leeds 085C,1553
E01011374,Leeds 085D,1251
E01011312,Leeds 086A,2025
E01011316,Leeds 086B,2014
E01011372,Leeds 086C,1750
E01011375,Leeds 086D,2087
E01011390,Leeds 087A,1365
E01011391,Leeds 087B,1558
E01011392,Leeds 087C,1984
E01011402,Leeds 087D,2053
E01011298,Leeds 088A,1556
E01011299,Leeds 088B,2838
E01011302,Leeds 088C,1781
E01011303,Leeds 088D,1146
E01011300,Leeds 089A,1457
E01011301,Leeds 089B,1241
E01011304,Leeds 089C,1587
E01011305,Leeds 089D,1492
E01011306,Leeds 089E,1301
E01011315,Leeds 090A,1613
E01011317,Leeds 090B,1776
E01011318,Leeds 090C,1552
E01011321,Leeds 090D,1660
E01011369,Leeds 090E,1589
E01011313,Leeds 091A,1744
E01011314,Leeds 091B,1573
E01011319,Leeds 091C,1604
E01011320,Leeds 091D,1790
E01011322,Leeds 091E,1659
E01011471,Leeds 092A,1577
E01011472,Leeds 092B,1656
E01011473,Leeds 092C,1540
E01011474,Leeds 092D,1591
E01011518,Leeds 093A,2294
E01011524,Leeds 093B,1216
E01011526,Leeds 093C,1267
E01011531,Leeds 093D,1670
E01011466,Leeds 094A,1537
E01011469,Leeds 094B,1418
E01011475,Leeds 094C,1610
E01011476,Leeds 094D,1231
E01011519,Leeds 095A,1515
E01011522,Leeds 095B,1370
E01011525,Leeds 095C,1551
E01011528,Leeds 095D,1599
E01011532,Leeds 095E,1602
E01011520,Leeds 096A,1497
E01011521,Leeds 096B,2172
E01011523,Leeds 096C,1893
E01011527,Leeds 096D,1741
E01011529,Leeds 096E,1365
E01011635,Leeds 097B,1834
E01011637,Leeds 097C,1691
E01011638,Leeds 097D,1400
E01032487,Leeds 097F,1042
E01032488,Leeds 097G,1808
E01011627,Leeds 098A,1358
E01011628,Leeds 098B,1228
E01011629,Leeds 098C,1308
E01011632,Leeds 098D,1347
E01011633,Leeds 098E,1467
E01011502,Leeds 099C,1387
E01032497,Leeds 099E,1610
E01032498,Leeds 099F,1661
E01035048,Leeds 099G,1894
E01035049,Leeds 099H,1487
E01011496,Leeds 100A,1522
E01011630,Leeds 100B,2019
E01011634,Leeds 100C,1585
E01011636,Leeds 100D,1886
E01011639,Leeds 100E,1509
E01011491,Leeds 101A,1451
E01011492,Leeds 101B,1732
E01011493,Leeds 101C,1612
E01011494,Leeds 101D,1681
E01011497,Leeds 101E,1729
E01011540,Leeds 102B,2016
E01032489,Leeds 102F,2113
E01032490,Leeds 102G,1396
E01032491,Leeds 102H,1195
E01032492,Leeds 102I,2104
E01011307,Leeds 103A,1600
E01011308,Leeds 103B,1496
E01011393,Leeds 103C,2202
E01011394,Leeds 103D,1156
E01011395,Leeds 103E,1198
E01011533,Leeds 104A,1387
E01011541,Leeds 104B,2036
E01011545,Leeds 104C,1359
E01011547,Leeds 104D,1992
E01011500,Leeds 105D,1577
E01032496,Leeds 105F,2200
E01035050,Leeds 105G,1619
E01035051,Leeds 105H,1607
E01035052,Leeds 105I,1453
E01035053,Leeds 105J,1733
E01011530,Leeds 106A,1367
E01011534,Leeds 106B,2358
E01011546,Leeds 106C,1723
E01011548,Leeds 106D,1507
E01011550,Leeds 106E,1354
E01011537,Leeds 107A,2046
E01011538,Leeds 107B,1584
E01011551,Leeds 107C,1754
E01011552,Leeds 107D,1523
E01011535,Leeds 108A,1714
E01011536,Leeds 108B,1653
E01011549,Leeds 108C,1428
E01011553,Leeds 108D,1380
E01011685,Leeds 109A,2215
E01011687,Leeds 109B,1527
E01011690,Leeds 109C,1362
E01011692,Leeds 109D,1502
E01011693,Leeds 109E,1513
E01011694,Leeds 109F,1855
E01032876,Leeds 109G,1874
E01011442,Leeds 110A,1874
E01011443,Leeds 110B,1881
E01011444,Leeds 110C,1992
E01011451,Leeds 110D,1553
E01011668,Leeds 110E,1705
E01011669,Leeds 110F,1481
E01032946,Leeds 110G,3146
E01033008,Leeds 111A,2148
E01033010,Leeds 111B,3481
E01033011,Leeds 111C,1344
E01033015,Leeds 111D,1510
E01033016,Leeds 111E,1047
E01011467,Leeds 112A,1992
E01011468,Leeds 112B,2031
E01011470,Leeds 112C,1294
E01035054,Leeds 112F,2569
